Periodo,variable,value,publication_date,source,precision
2026-07-01,mineria,-7.2,2026-08-31,https://www.ine.gob.cl/estadisticas-por-tema/industria-energia-y-construccion/indice-de-produccion-industrial,1 decimal; variacion interanual original
2026-07-01,manufactura,-4.9,2026-08-31,https://www.ine.gob.cl/estadisticas-por-tema/industria-energia-y-construccion/indice-de-produccion-industrial,1 decimal; variacion interanual original
2026-07-01,electricidad,0.3,2026-08-31,https://www.ine.gob.cl/estadisticas-por-tema/industria-energia-y-construccion/indice-de-produccion-industrial,1 decimal; variacion interanual original
