variable,modelo,n,rmse,mae,inicio,fin,nota
IMACEC total,Modelo principal,36,1.88,1.49,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
IMACEC total,Promedio móvil 3m,36,1.95,1.53,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
IMACEC total,Benchmark AR(1),36,2.28,1.82,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
IMACEC total,Naive estacional t-12,36,3.39,2.76,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
IMACEC no minero,Modelo principal,36,1.85,1.52,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
IMACEC no minero,Promedio móvil 3m,36,1.86,1.51,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
IMACEC no minero,Benchmark AR(1),36,2.49,2.05,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
IMACEC no minero,Naive estacional t-12,36,3.26,2.7,2023-05-01,2026-04-01,Pseudo out-of-sample con ventana expansiva; menor RMSE/MAE indica mejor desempeño predictivo.
