Periodo,target_key,variable,corte,model_key,modelo,estado,forecast,lwr,upr,nivel_intervalo,eee_value,eee_survey_period,observed,fecha_actualizacion,run_timestamp
2026-07-01,total,IMACEC total,experimental,m4,M4 · Dinámico,Reestimación de referencia; el dato efectivo ya existe,-0.429007172250696,-2.639895164264398,1.7818808197630063,0.8,1.1,2026-08-01,-1.487117150040529,2026-09-02,2026-09-02 06:17:35 UTC
2026-07-01,no_minero,IMACEC no minero,experimental,m4,M4 · Dinámico,Reestimación de referencia; el dato efectivo ya existe,-0.6960329744214488,-2.7626808625819885,1.3706149137390906,0.8,1,2026-08-01,-0.30982965559617215,2026-09-02,2026-09-02 06:17:35 UTC
