date,stress_market_30d,stress_market,z_fx,z_y10,regime
2012-11-19,1.0932638963177328,1.218836312004794,0.6508301727745629,1.7868424512350252,Estrés moderado
2012-12-19,1.1762169506369722,1.1069181307052698,0.4342162253924468,1.7796200360180927,Estrés moderado
2013-01-18,1.2698340527008927,1.5305662781610834,1.0707600192614475,1.9903725370607195,Estrés moderado
2013-02-19,1.4447395861922305,1.3651807677062493,0.8059117467347023,1.9244497886777963,Estrés moderado
2021-09-16,1.1606901904597318,1.125082582809844,0.22604953156995222,2.024115634049736,Estrés moderado
2021-10-20,1.719012429231863,2.70326741122558,2.0147357194198077,3.3917991030313526,Estrés alto
2021-11-19,2.1835039354629053,2.1289235088255576,1.1155259765618049,3.14232104108931,Estrés alto
2021-12-20,1.617310417163668,2.0070200368808537,1.3501248545019218,2.663915219259786,Estrés alto
2022-01-19,1.8941635009768374,1.5321354226792605,0.9171170064993963,2.1471538388591247,Estrés alto
2022-02-18,1.1115890027169102,0.7438147448703186,0.24180769377135322,1.245821795969284,Estrés moderado
2022-07-08,1.1261731730922506,1.7781023433922003,2.538161224849713,1.0180434619346874,Estrés moderado
2022-08-08,1.8137280518659804,1.567222401827737,0.8064568303650489,2.327987973290425,Estrés alto
2022-09-07,1.361938974674367,0.8501074567225096,-0.16059910751335327,1.8608140209583726,Estrés moderado
2022-11-04,1.4607253161732736,1.2112845835970414,1.6245425624694463,0.7980266047246363,Estrés moderado
2024-04-08,1.1701317286077804,0.9738325394113763,1.2193486911467772,0.7283163876759752,Estrés moderado
