country,block,term,estimate,std_error,statistic,p_value
MXN,10Y,embi_100,0.302708,0.0172077,17.5915,1.2241999999999997e-66
MXN,10Y,l_vix,0.274842,0.0298839,9.19697,5.938709999999999e-20
MXN,10Y,l_eqnsq,0.797697,0.0955374,8.34958,9.5026e-17
MXN,10Y,l_dtw,1.97176,0.222631,8.85665,1.24541e-18
MXN,10Y,l_cny,3.4426,0.260887,13.1958,6.66551e-39
MXN,10Y,trend,-3.51022e-4,7.15869e-5,-4.90343,9.81437e-7
PEN,10Y,(Intercept),-4.52537,1.2965,-3.49046,4.87293e-4
PEN,10Y,y10_us,0.763052,0.0106072,71.9375,0
PEN,10Y,embi_100,1.77579,0.0320754,55.363,0
PEN,10Y,l_vix,-0.319559,0.0326125,-9.79868,2.0125e-22
PEN,10Y,l_eqnsq,-0.264473,0.0874014,-3.02596,0.00249392
PEN,10Y,l_dtw,3.80203,0.253403,15.0039,1.42176e-49
PEN,10Y,l_cny,-4.56786,0.287628,-15.8812,3.7280500000000005e-55
PEN,10Y,trend,3.78404e-5,5.99904e-5,0.630775,0.528223
COP,10Y,(Intercept),40.2492,1.8624,21.6115,3.6941099999999995e-98
COP,10Y,y10_us,1.16135,0.0155939,74.4746,0
COP,10Y,embi_100,1.56299,0.0263308,59.3598,0
COP,10Y,l_vix,0.313426,0.0448973,6.98095,3.40736e-12
COP,10Y,l_eqnsq,-0.904648,0.123649,-7.31625,3.05459e-13
COP,10Y,l_dtw,-8.17359,0.363916,-22.4601,1.9769699999999997e-105
COP,10Y,l_cny,1.41632,0.387719,3.65295,2.62504e-4
COP,10Y,trend,0.00124229,8.59621e-5,14.4516,3.33186e-46
