date,z_fx,y10_spread,country,z_fx_hat,res_2nd
2012-10-05,-0.2931261573804284,3.6685572217837406,CLP,0.4232607487900167,-0.7163869061704451
2012-10-08,-0.40353819047890527,3.69294444444444,CLP,0.43003655819275266,-0.8335747486716579
2012-10-09,-0.3372612748044024,3.6960588068682596,CLP,0.4309018607525916,-0.768163135556994
2012-10-10,-0.36897564201464533,3.70303925619835,CLP,0.43284132695850347,-0.8018169689731488
2012-10-11,-0.27701417763379227,3.7117953745600794,CLP,0.4352741496686881,-0.7122883273024804
2012-10-12,-0.378699857273489,3.72387687715893,CLP,0.4386309057883979,-0.8173307630618869
2012-10-16,-0.3882802361400817,3.6775884861407295,CLP,0.4257700187794717,-0.8140502549195534
2012-10-17,-0.3490975849140624,3.5829804101622305,CLP,0.3994838647670551,-0.7485814496811175
2012-10-18,-0.12076011526791396,3.5549999999999997,CLP,0.39170971479890504,-0.512469830066819
2012-10-19,-0.2669610230043928,3.6242467532467497,CLP,0.41094941291006354,-0.6779104359144563
2012-10-22,-0.1529008258400636,3.5860000000000003,CLP,0.4003228354649474,-0.553223661305011
2012-10-23,-0.3833700267426365,3.6216431109356497,CLP,0.41022601015533083,-0.7935960368979673
2012-10-24,-0.0011302906037842936,3.5991899441340802,CLP,0.4039875638651148,-0.4051178544688991
2012-10-25,0.04672014793348345,3.58337390652337,CLP,0.39959319481996286,-0.3528730468864794
2012-10-26,-0.28523757205328837,3.674,CLP,0.4247729844524225,-0.7100105565057109
2012-10-29,-0.2603097787029535,3.7009999999999996,CLP,0.4322747347099432,-0.6925845134128967
2012-10-30,-0.18916359529648075,3.7018190008189995,CLP,0.4325022880286412,-0.621665883325122
2012-10-31,-0.306234089412063,3.7490000000000006,CLP,0.44561117961220265,-0.7518452690242656
2012-11-05,-0.3134287227602699,3.76485111662531,CLP,0.45001529510205096,-0.7634440178623209
2012-11-06,-0.21711038089776313,3.6980000000000004,CLP,0.43144120690355225,-0.6485515878013154
2012-11-07,-0.2877289712212309,3.7886666666666704,CLP,0.4566322694967094,-0.7443612407179403
2012-11-08,-0.3019261564697394,3.8432115449915103,CLP,0.47178716042336877,-0.7737133168931082
2012-11-09,-0.5095530703784236,3.84469171626984,CLP,0.4721984150629386,-0.9817514854413621
2012-11-12,-0.18023494721424033,3.82634763948498,CLP,0.4671016490353533,-0.6473365962495936
2012-11-13,-0.21601620692750942,3.81935595345249,CLP,0.4651590607948074,-0.6811752677223168
2012-11-14,-0.056823819017705474,3.8279161518093496,CLP,0.46753744858102975,-0.5243612675987352
2012-11-15,-0.10261495325270586,3.816,CLP,0.4642266339549391,-0.566841587207645
2012-11-16,-0.0482915266442814,3.8385430107526903,CLP,0.4704900427223203,-0.5187815693666017
2012-11-19,-0.048689689447148986,3.8260000000000005,CLP,0.46700505997624336,-0.5156947494233923
2012-11-20,-0.06955517763807895,3.803,CLP,0.46061468012724405,-0.530169857765323
2012-11-21,-0.19183372362084336,3.81666666666667,CLP,0.46441186235636034,-0.6562455859772037
2012-11-22,-0.3153243213250536,3.86893617021276,CLP,0.4789345572336702,-0.7942588785587238
2012-11-23,-0.39585781138216897,3.8874178187404,CLP,0.48406954655224915,-0.8799273579344181
2012-11-26,-0.36213259239980977,3.89966052651204,CLP,0.48747109233664365,-0.8496036847364534
2012-11-27,-0.28160032013947944,3.8988000000000005,CLP,0.4872320014113364,-0.7688323215508158
2012-11-28,-0.36591325211804904,3.8716237828464704,CLP,0.4796812905213388,-0.8455945426393878
2012-11-29,-0.3331947838550036,3.89888294314381,CLP,0.4872550465502414,-0.820449830405245
2012-11-30,-0.49077575142955193,3.91464814814815,CLP,0.4916352921317662,-0.9824110435613181
2012-12-03,-0.5039949807082885,3.928,CLP,0.49534500539354387,-0.9993399861018324
2012-12-04,-0.4398383142361749,3.966,CLP,0.5059030242744992,-0.9457413385106741
2012-12-05,-0.15887463100017682,3.96708547008547,CLP,0.5062046141075808,-0.6650792451077576
2012-12-06,-0.18707735161889663,3.9758000000000004,CLP,0.5086258817753772,-0.6957032333942738
2012-12-07,-0.16702423210877715,3.8804040404040405,CLP,0.4821208201285092,-0.6491450522372864
2012-12-10,-0.1412780284558177,3.8831249999999997,CLP,0.4828768186229422,-0.6241548470787599
2012-12-11,-0.14621287766628704,3.8382783347256995,CLP,0.47041650444625965,-0.6166293821125467
2012-12-12,-0.21494465001223603,3.7910000000000004,CLP,0.45728056890167934,-0.6722252189139154
