country,n_obs,beta_y10_spread,p_value,r2,lectura
CLP,3395,0.2778,0,0.0493,relación positiva significativa
BRL,3395,0.1203,0,0.0508,relación positiva significativa
MXN,3395,0.1928,0,0.0264,relación positiva significativa
PEN,3395,0.3368,0,0.1007,relación positiva significativa
COP,3395,0.1051,0,0.0309,relación positiva significativa
