date,fitted_clp_oos,res_fx_oos,z_fx_oos,n_train_fx,clp,y10_clp_oos,fitted_y10_clp_oos,res_y10_oos,z_y10_oos,n_train_y10,stress_market_oos,stress_market_oos_30d,regime_oos
2014-10-13,609.545537803659,-0.025329417135425025,-1.8866402020293855,500,594.3,4.712,4.4923093453654666,0.2196906546345332,1.8027504214188053,500,-0.04194489030529014,NA,NA
2014-10-20,598.7424667598859,-0.018768104499332416,-1.3713423816560217,505,587.61,4.5810843373494,4.49289393806672,0.0881903992826798,0.7233132364940426,505,-0.3240145725809896,NA,NA
2014-10-27,604.9653126903765,-0.03492773203744992,-2.5162632221741896,510,584.2,4.43142857142857,4.485221940389296,-0.05379336896072662,-0.4429264121822781,510,-1.4795948171782338,NA,NA
2014-11-04,604.8729574486774,-0.04092195017129718,-2.8686955479649794,515,580.62,4.47021741501235,4.50258679230177,-0.03236937728942024,-0.26767951867877526,515,-1.5681875333218773,-0.8534354533465978,Condiciones benignas
2014-11-11,598.150749543811,-0.019960040714583016,-1.3860241350626341,520,586.33,4.51808219178082,4.524730458503766,-0.006648266722946161,-0.055198865538875014,520,-0.7206115003007546,-0.8268706627374292,Condiciones benignas
2014-11-18,599.6891550104767,-0.007480360881515047,-0.5204990247850183,525,595.22,4.43284972005429,4.467628014267904,-0.03477829421361367,-0.29012037787944767,525,-0.405309701332233,-0.7566105025032297,Condiciones benignas
2014-11-25,593.8693526013628,8.258463325265808e-4,0.057706307285459016,530,594.36,4.37867667597765,4.445734781771808,-0.06705810579415772,-0.5607277073007103,530,-0.25151070000762565,-0.791538137453619,Condiciones benignas
2014-12-02,590.2318905594647,0.034237706710917415,2.3978142579127493,535,610.79,4.37769230769231,4.463719673326553,-0.08602736563424251,-0.7219671159271687,535,0.8379235709927904,-0.5978817801913223,Condiciones neutrales
2014-12-10,607.4602673906378,0.010333495532242942,0.7121075842917516,540,613.77,4.37721684298607,4.403241220049601,-0.026024377063531112,-0.21921505235114624,540,0.24644626597030267,-0.31020826633323295,Condiciones neutrales
2014-12-17,611.9246961285093,0.015381860123427238,1.0643165330374473,545,621.41,4.33516130652005,4.406349230959886,-0.07118792443983679,-0.6017809614765114,545,0.23126778578046797,-0.010299046482842042,Condiciones neutrales
2014-12-24,616.0589963462966,-0.01239512258598996,-0.860396177035105,550,608.47,4.36900406504065,4.452025557469614,-0.08302149242896473,-0.7038636326129527,550,-0.7821299048240289,-0.020552113903387754,Condiciones neutrales
2015-01-05,618.4970304398065,-0.009792428964418676,-0.6811671453962828,555,612.47,4.35380952380952,4.35773701512365,-0.003927491314129838,-0.033414442765274686,555,-0.35729079408077874,-0.012548962694812047,Condiciones neutrales
2015-01-12,619.1148786877673,-0.008247056117790308,-0.5759479378445557,560,614.03,4.25379180151025,4.268992234415673,-0.015200432905423611,-0.12909313789459695,560,-0.3525205378695763,-0.029383935671803824,Condiciones neutrales
2015-01-19,622.4511498026695,0.007297338422032951,0.51004556843854,565,627.01,4.18053495548361,4.24407066850987,-0.06353571302626015,-0.5418603735125965,565,-0.01590740253702827,-0.1716890979267736,Condiciones neutrales
2015-01-26,623.2452136741592,0.00501717293677828,0.35092761351975393,570,626.38,4.13617391304348,4.246083654184233,-0.10990974114075236,-0.9388942665177349,570,-0.2939833264989905,-0.2617606966716558,Condiciones neutrales
2015-02-02,634.3900591373908,-0.0037271391153961275,-0.2614012365044801,575,632.03,4.13862349914237,4.171526255400176,-0.0329027562578057,-0.28176122801180564,575,-0.2715812322581429,-0.3455688663447576,Condiciones neutrales
2015-02-09,634.3278293496734,-0.0176823611491983,-1.2445334825160612,580,623.21,4.27020297029703,4.2617827559676105,0.008420214329419196,0.07236797118983027,580,-0.5860827556631155,-0.3128943414846054,Condiciones neutrales
2015-02-16,629.1849432837305,-0.014415482476604957,-1.01665322973941,585,620.18,4.20538461538461,4.2459918842219615,-0.04060726883735111,-0.3504789135120576,585,-0.6835660716257338,-0.3672735544087645,Condiciones neutrales
2015-02-23,634.0666346560466,-0.02751195711286325,-1.9382347512272302,590,616.86,4.2,4.229053741868444,-0.029053741868444227,-0.25150503799013874,590,-1.0948698946086846,-0.4909984471986159,Condiciones neutrales
2015-03-02,629.5025470298311,-0.01721242422344904,-1.2098284209832078,595,618.76,4.21833333333333,4.239297890847617,-0.020964557514286497,-0.18223319677310382,595,-0.6960308088781558,-0.6043523482554705,Condiciones neutrales
