date,clp,fitted_clp,res_fx,z_fx,y10_clp,fitted_y10_clp,res_y10,z_y10,stress_market,stress_market_30d,stress_fx_30d,stress_y10_30d,regime
2012-10-05,472.76,468.4001037308597,0.009265006962646392,0.22904687501284351,5.41255722178374,4.005677887504412,1.4068793342793282,2.3631641757147372,1.2961055253637903,NA,NA,NA,NA
2012-10-08,472.37,470.30638979729673,0.004378201303059748,0.10823665116346108,5.43694444444444,4.109144797149627,1.3277996472948128,2.230332397782431,1.1692845244729462,NA,NA,NA,NA
2012-10-09,474.47,470.5950296574488,0.008200477080838453,0.20272986912510538,5.41005880686826,4.12541799221527,1.2846408146529897,2.1578376182517696,1.1802837436884375,NA,NA,NA,NA
2012-10-10,474.01,470.538201098148,0.0073512702322842,0.18173601821003835,5.37803925619835,4.086373118871753,1.2916661373265963,2.1696381973494843,1.1756871077797613,NA,NA,NA,NA
2012-10-11,475.02,469.50297128291305,0.01168228117200205,0.2888060425919156,5.38279537456008,4.144770915026805,1.2380244595332748,2.0795351670484923,1.1841706048202039,NA,NA,NA,NA
2012-10-12,472.8,468.8166291305854,0.00846075676325689,0.20916442963084836,5.38087687715893,4.164430694930816,1.2164461822281134,2.043289690511361,1.1262270600711046,NA,NA,NA,NA
2012-10-16,472.95,469.6781422188905,0.0069420183298873625,0.1716186087234639,5.39658848614073,4.166878501062276,1.2297099850784539,2.065569173169143,1.1185938909463036,NA,NA,NA,NA
2012-10-17,471.54,468.62238547017444,0.00620663821702713,0.15343875009234667,5.40198041016223,4.259580661098395,1.1423997490638356,1.9189123726208315,1.036175561356589,NA,NA,NA,NA
2012-10-18,472.19,464.9715023297909,0.015405328562934216,0.38084616451041636,5.39,4.3058859744103195,1.0841140255896804,1.8210086432009267,1.1009274038556716,NA,NA,NA,NA
2012-10-19,472.56,467.85299300955467,0.010010593927521062,0.24747906454528126,5.38824675324675,4.309181257420127,1.0790654958266237,1.8125285238435713,1.0300037941944262,NA,NA,NA,NA
2012-10-22,474.25,468.5411951814267,0.012110581052574508,0.29939435079384213,5.4,4.335910967221609,1.0640890327783916,1.7873722505995502,1.0433833006966962,NA,NA,NA,NA
2012-10-23,475.67,474.133863101992,0.003234643060648881,0.07996592855360203,5.37964311093565,4.325724210914274,1.0539189000213758,1.7702892692748198,0.9251275989142109,NA,NA,NA,NA
2012-10-24,481.4,473.39593132109434,0.016766422896021062,0.41449475267102204,5.38918994413408,4.369241620318233,1.019948323815847,1.7132281932029225,1.0638614729369722,NA,NA,NA,NA
2012-10-25,481.78,473.217106437787,0.01793329632316016,0.44334186666664893,5.40737390652337,4.404057335492718,1.003316571030652,1.6852914957167446,1.0643166811916969,NA,NA,NA,NA
2012-10-26,478.87,475.33479926633504,0.007409765516321219,0.18318212203550605,5.42,4.336618806435439,1.0833811935645608,1.8197776901643847,1.0014799060999453,NA,NA,NA,NA
2012-10-29,480.3,476.21087751363046,0.008550132557120366,0.21137395266399392,5.42,4.3373353507053185,1.082664649294681,1.8185740960055716,1.0149740243347827,NA,NA,NA,NA
2012-10-30,481.98,476.6056738292249,0.011213150016753983,0.2772083151952766,5.420819000819,4.347385547280247,1.0734334535387533,1.803068266487795,1.0401382908415358,NA,NA,NA,NA
2012-10-31,480.03,476.3150764349294,0.007769041409923129,0.1920640388034843,5.44,4.337470895010951,1.1025291049890489,1.851940831107306,1.0220024349553951,NA,NA,NA,NA
2012-11-05,480.59,476.53314970401476,0.008477225928801835,0.20957157567157422,5.44985111662531,4.297536326434038,1.1523147901912718,1.9355668712847824,1.0725692234781783,NA,NA,NA,NA
2012-11-06,482.29,476.5282671567755,0.012018549072603718,0.2971191622809203,5.45,4.2992294915918725,1.1507705084081277,1.9329729093875425,1.1150460358342313,1.0890179092916439,0.23904092694707954,1.9389948916362083,Estrés moderado
2012-11-07,479.78,474.89908829141655,0.010225329739200829,0.2527877023927102,5.43666666666667,4.299698027318493,1.1369686393481773,1.9097896258424132,1.0812886641175616,1.08864984999764,0.2396955353016334,1.9376041646936466,Estrés moderado
2012-11-08,479.63,474.3652213588383,0.01103743912270932,0.27286444029600215,5.45921154499151,4.319452378876504,1.1397591661150073,1.9144769310903247,1.0936706856931635,1.088878069801982,0.24120321280137744,1.9365529268025865,Estrés moderado
2012-11-09,478.19,476.49516243258256,0.0035505723030304047,0.08777624170116971,5.45169171626984,4.339045366767977,1.1126463495018626,1.8689349749596464,0.9783556083304081,1.0840727453901744,0.23453247492745535,1.9336130158528935,Estrés moderado
2012-11-12,479.79,471.6311695150965,0.01715124857235418,0.42400830392297145,5.43334763948498,4.380449275993557,1.052898363491423,1.7685750530596618,1.0962916784913166,1.0845818676027221,0.24242730113560185,1.9267364340698423,Estrés moderado
2012-11-13,479.98,472.0016396427761,0.01676197696822771,0.41438484170476964,5.41435595345249,4.389120811728969,1.0252351417235213,1.7221085700614984,1.068246705883134,1.0839284611339386,0.24930560275836858,1.9185513195095085,Estrés moderado
2012-11-14,483.69,472.3350937242192,0.02375552761849398,0.5872774178405124,5.41991615180935,4.4343910585846285,0.9855250932247215,1.6554067842425118,1.121342101041512,1.0853674472842298,0.2623045187230664,1.9084303758453933,Estrés moderado
2012-11-15,484.26,473.72020664563973,0.022005086492189792,0.5440035086583204,5.41,4.427573585003767,0.9824264149962333,1.6502018706417432,1.0971026896500318,1.0858020858903705,0.2727378146465943,1.8988663571341469,Estrés moderado
2012-11-16,483.94,471.6898710696487,0.025639215276735756,0.633845410002852,5.41954301075269,4.404805600558417,1.0147374101942732,1.7044753143360543,1.169160362169453,1.088779167186052,0.2856345144807464,1.891923819891358,Estrés moderado
2012-11-19,484.48,471.89188274434787,0.02632625344449061,0.6508301727745629,5.44,4.376226376444939,1.0637736235550612,1.7868424512350252,1.218836312004794,1.0932638963177328,0.29822746821501595,1.88830032442045,Estrés moderado
2012-11-20,480.77,469.11597478759234,0.02453896639325842,0.6066453690840623,5.47,4.4188241067778335,1.051175893222166,1.7656817842946277,1.186163576689345,1.0963605523301199,0.3085080649106508,1.884213039749589,Estrés moderado
2012-11-21,478.92,469.76946616739315,0.01929149199398053,0.4769187949206263,5.49666666666667,4.423872749361666,1.0727939173050032,1.8019940243123322,1.1394564096164792,1.0911389151385429,0.3167704622409102,1.8655073680361756,Estrés moderado
2012-11-22,477.81,470.9419474044957,0.014478331430038243,0.35792920424349817,5.54893617021276,4.406372186616361,1.142563983596399,1.9191882407456324,1.1385587224945652,1.0901147217392635,0.32509354734357815,1.8551358961349491,Estrés moderado
2012-11-23,476.2,470.95861012798144,0.011067720483744225,0.2736130475171455,5.5784178187404,4.406754428598342,1.171663390142058,1.9680671128761167,1.1208400801966312,1.0881332662895367,0.32745631995664615,1.8488102126224273,Estrés moderado
2012-11-26,478.03,471.3558101978869,0.014060247545487799,0.34759345299845457,5.56266052651204,4.384703065021571,1.177957461490469,1.9786393940714881,1.1631164235349714,1.087714243481377,0.33298490111626,1.842443585846494,Estrés moderado
2012-11-27,480.9,472.32364190141885,0.0179949156760238,0.4448652028358102,5.5368,4.382629605762961,1.1541703942370396,1.938683767594526,1.1917744852151682,1.0879677061612092,0.33818687312438983,1.8377485391980286,Estrés moderado
2012-11-28,481.05,473.9831596068755,0.014799421998877732,0.3658671142402516,5.50062378284647,4.35254760518824,1.1480761776582304,1.9284471865692843,1.147157150404768,1.088665375838998,0.3434102959447033,1.8339204557332927,Estrés moderado
2012-11-29,481.69,473.33817777278557,0.01749065700561861,0.43239906296995845,5.51488294314381,4.3221393825874195,1.1927435605563912,2.003475909016144,1.2179374859930512,1.091976829007223,0.35210297775291977,1.831850680261526,Estrés moderado
2012-11-30,479.42,473.6557541109297,0.012096239252607064,0.299039796881703,5.53064814814815,4.31891392381655,1.2117342243316003,2.0353749178459286,1.1672073573638158,1.0963445555407971,0.35695634597923165,1.8357327651023625,Estrés moderado
2012-12-03,480.39,474.57821718114326,0.012171828270443184,0.30090848714717783,5.55,4.330888205556729,1.219111794443271,2.047767174215701,1.1743378306814394,1.0987915697683226,0.3542917567337904,1.843291382802855,Estrés moderado
2012-12-04,481.28,474.4279680806389,0.014339420736877743,0.35449509347568575,5.57,4.331065715530236,1.2389342844697644,2.0810634187213233,1.2177792560985046,1.105050751831792,0.35785895769813714,1.8522425459654468,Estrés moderado
2012-12-05,481.05,468.8918194215234,0.025599135181849923,0.6328545612619034,5.55508547008547,4.332128812013328,1.2229566580721427,2.0542254707922956,1.3435400160270996,1.1150559756761387,0.36897429804707255,1.8611376533052049,Estrés moderado
2012-12-06,480.18,468.89459038003986,0.023783044408813927,0.587957680128342,5.5628,4.319085386878867,1.2437146131211332,2.0890930351509684,1.3385253576396552,1.1288359009669868,0.3859073564328972,1.8717644455010765,Estrés moderado
2012-12-07,477.97,467.0643962509531,0.023080827382136362,0.5705976699103502,5.50240404040404,4.367198696186731,1.13520534421731,1.9068277827170308,1.2387127263136906,1.1346642760795442,0.3911107870075415,1.8782177651515468,Estrés moderado
2012-12-10,477.04,465.787858299164,0.023870054043621303,0.5901087076482334,5.500125,4.32416017959585,1.1759648204041497,1.975292313824084,1.2827005107361589,1.1419437370643595,0.396003015040261,1.8878844590884583,Estrés moderado
2012-12-11,476.29,465.22438398284305,0.023507077016260133,0.5811352925009252,5.4932783347257,4.308111439847947,1.1851668948777525,1.9907492277245336,1.2859422601127295,1.1514258155314523,0.4092681207224416,1.893583510340463,Estrés moderado
2012-12-12,474.78,465.5177316931356,0.019701351142929712,0.48705121658428135,5.49,4.341245266761423,1.148754733238577,1.929586970344364,1.2083190934643226,1.1578706511691037,0.41845736285311785,1.8972839394850896,Estrés moderado
2012-12-13,474.92,465.89897281132653,0.019177554717930798,0.47410206988934656,5.47,4.357929645458273,1.112070354541727,1.8679674643693498,1.1710347671293482,1.162233867045364,0.42502048800958686,1.8994472460811413,Estrés moderado
2012-12-14,474.95,463.6855058736217,0.024003001978259924,0.5933954087906241,5.48918482207698,4.388196110041247,1.1009887120357327,1.849353401357572,1.2213744050740982,1.1688795993826542,0.4383982003424915,1.8993609984228168,Estrés moderado
2012-12-17,474.36,463.3103317369688,0.023569434605418743,0.5826768791384419,5.49,4.423823467924865,1.0661765320751353,1.790878666135479,1.1867777726369604,1.1726865510212803,0.4508350437913871,1.8945380582511735,Estrés moderado
2012-12-18,474.5,463.06635622554444,0.024391256251052172,0.6029937208320484,5.51,4.445737638391868,1.0642623616081321,1.7876633946025084,1.1953285577172785,1.1753626350840485,0.46103086240975805,1.889694407758339,Estrés moderado
2012-12-19,474.81,466.54317284873315,0.01756416170851259,0.4342162253924468,5.49,4.430526148257963,1.059473851742037,1.7796200360180927,1.1069181307052698,1.1762169506369722,0.4670784798430826,1.8853554214308617,Estrés moderado
2012-12-20,474.42,468.8510316029122,0.011807917164191536,0.2919119799663998,5.5081492063492,4.425076132404932,1.0830730739442687,1.819260135296126,1.0555860576312628,1.1749474630349088,0.46771339783209587,1.8821815282377217,Estrés moderado
2012-12-21,475.02,469.8975684996013,0.01084217682207683,0.26803722106691746,5.5061119047619,4.432261027405534,1.0738508773563655,1.8037694218661109,1.035903321466514,1.1768657201394457,0.4737220971442874,1.8800093431346039,Estrés moderado
2012-12-24,476.4,469.7017659388979,0.01415988473863976,0.3500566554351626,5.5,4.445603306636298,1.0543966933637023,1.7710918285863897,1.0605742420107762,1.1756751389234277,0.47125704219469383,1.8800932356521614,Estrés moderado
