date,country,10Y,FX
2026-06-02,BRL,0.56,-2.71
2026-06-02,CLP,-0.89,-1.01
2026-06-02,COP,0.94,-1.18
2026-06-02,MXN,-0.95,-0.36
2026-06-02,PEN,-0.98,-3.56
