date,country,y10_spread,z_fx,z_fx_hat,res_2nd
2012-10-05,BRL,7.912000000000001,1.4489264198610352,-0.08663873709397696,1.5355651569550122
2012-10-08,BRL,7.913,1.3646773515427422,-0.08651851324582127,1.4511958647885634
2012-10-09,BRL,7.933999999999999,1.3031743514627716,-0.08399381243225412,1.3871681638950257
2012-10-10,BRL,7.9639999999999995,1.2640438130176406,-0.08038709698433744,1.344430910001978
2012-10-11,BRL,7.855999999999999,1.3291867575906204,-0.09337127259683764,1.422558030187458
2012-10-12,BRL,7.865,1.2572563713320195,-0.09228925796246235,1.3495456292944819
2012-10-16,BRL,7.72,1.382867348043846,-0.10972171596072644,1.4925890640045725
2012-10-17,BRL,7.653,1.580731344349484,-0.11777671379440724,1.6985080581438912
2012-10-18,BRL,7.611,1.5792474774160865,-0.12282611542149047,1.702073592837577
2012-10-19,BRL,7.656999999999999,1.2446651154577608,-0.11729581840135173,1.3619609338591125
2012-10-22,BRL,7.5649999999999995,1.3258521152811467,-0.12835641244162965,1.4542085277227763
2012-10-23,BRL,7.604,0.9261667327681393,-0.1236676823593379,1.0498344151274772
2012-10-24,BRL,7.534,0.9252952717179221,-0.13208335173781016,1.0573786234557323
2012-10-25,BRL,7.441000000000001,1.0833626800078378,-0.1432641696263517,1.2266268496341894
2012-10-26,BRL,7.414999999999999,0.8618288884783635,-0.1463899896812132,1.0082188781595767
2012-10-29,BRL,7.435999999999999,0.8282940509442653,-0.14386528886767158,0.9721593398119369
2012-10-30,BRL,7.451999999999999,0.9137792772408068,-0.1419417072954493,1.055720984536256
2012-10-31,BRL,7.463,0.8922047136147786,-0.14061924496454647,1.032823958579325
2012-11-05,BRL,7.510999999999999,0.6885289948449349,-0.13484850024787975,0.8233774950928147
2012-11-06,BRL,7.5089999999999995,0.9685045707356537,-0.1350889479444075,1.1035935186800612
2012-11-07,BRL,7.635,0.775289506189449,-0.11994074306315727,0.8952302492526063
2012-11-08,BRL,7.724,0.8216384467542089,-0.10924082056767104,0.93087926732188
2012-11-09,BRL,7.762,0.8665498351823003,-0.10467231433364332,0.9712221495159437
2012-11-12,BRL,7.771,0.891118466421924,-0.10359029969926825,0.9947087661211923
2012-11-13,BRL,7.859000000000001,0.9557647830859065,-0.09301060105204584,1.0487753841379523
2012-11-14,BRL,7.933,0.8430502110954318,-0.08411403628051806,0.9271642473759498
2012-11-15,BRL,7.941999999999999,0.7396602279420325,-0.0830320216461432,0.8226922495881757
2012-11-16,BRL,7.896000000000001,0.9145456056010005,-0.08856231866628195,1.0031079242672825
2012-11-19,BRL,7.827000000000001,1.1731023913002443,-0.09685776419649028,1.2699601554967346
2012-11-20,BRL,7.779999999999999,1.2780382730682898,-0.10250828506489329,1.380546558133183
2012-11-21,BRL,7.829000000000001,1.384746847860359,-0.09661731649996241,1.4813641643603215
2012-11-22,BRL,7.835000000000001,1.4316091579595314,-0.09589597341037903,1.5275051313699104
2012-11-23,BRL,7.764,1.6250897371946824,-0.10443186663711534,1.7295216038317978
2012-11-26,BRL,7.753,1.3086960635801743,-0.10575432896801806,1.4144503925481924
2012-11-27,BRL,7.742000000000001,1.1726937593309648,-0.10707679129892078,1.2797705506298855
2012-11-28,BRL,7.779,1.2183336332161034,-0.10262850891315711,1.3209621421292606
2012-11-29,BRL,7.805,1.4281096800975666,-0.09950268885829594,1.5276123689558625
2012-11-30,BRL,7.82,1.4382105799957963,-0.09769933113433749,1.5359099111301338
2012-12-03,BRL,7.814,1.3609131656941436,-0.09842067422392087,1.4593338399180644
2012-12-04,BRL,7.683000000000001,1.320196277282809,-0.11416999834649055,1.4343662756292996
2012-12-05,BRL,7.704999999999999,1.3348638366352066,-0.11152507368468512,1.4463889103198917
2012-12-06,BRL,7.553000000000001,1.077236022274288,-0.12979909862079597,1.207035120895084
2012-12-07,BRL,7.495000000000001,1.1396566246901925,-0.1367720818201017,1.2764287065102942
2012-12-10,BRL,7.576,1.2243767275912525,-0.1270339501107267,1.3514106777019792
2012-12-11,BRL,7.637,1.270044049648191,-0.1197002953666293,1.3897443450148204
2012-12-12,BRL,7.5280000000000005,1.4597055412320694,-0.13280469482739332,1.5925102360594627
2012-12-13,BRL,7.409000000000001,1.3970179464639936,-0.14711133277079624,1.5441292792347898
2012-12-14,BRL,7.468999999999999,1.4337814486937663,-0.1398979018749631,1.5736793505687294
2012-12-17,BRL,7.407,1.618066562088265,-0.1473517804673241,1.7654183425555892
2012-12-18,BRL,7.365,1.7103772283602783,-0.15240118209440756,1.8627784104546858
2012-12-19,BRL,7.365,1.504550114032252,-0.15240118209440756,1.6569512961266595
2012-12-20,BRL,7.537,1.2360978568183556,-0.13172268019301847,1.367820537011374
2012-12-21,BRL,7.534999999999999,1.2233871578801203,-0.13196312788954634,1.3553502857696667
2012-12-24,BRL,7.4975000000000005,1.2992817438790731,-0.13647152219944214,1.4357532660785153
2012-12-26,BRL,7.494000000000001,1.1229731953134865,-0.13689230566836574,1.2598655009818522
2012-12-27,BRL,7.4879999999999995,0.9751966650708436,-0.13761364875794924,1.1128103138287928
2012-12-28,BRL,7.464,0.6037069238831648,-0.14049902111628243,0.7442059449994473
2013-01-02,BRL,7.292000000000001,1.4499389781234608,-0.16117752301767152,1.6111165011411324
2013-01-03,BRL,7.23,1.452911844679057,-0.16863140161003254,1.6215432462890895
2013-01-04,BRL,7.254,1.3070054822902968,-0.16574602925169946,1.4727515115419962
2013-01-07,BRL,7.265000000000001,1.2366547188253467,-0.1644235669207963,1.401078285746143
2013-01-08,BRL,7.432,1.1955731931063363,-0.14434618426072676,1.339919377367063
2013-01-09,BRL,7.389999999999999,1.2194038844817185,-0.1493955858878102,1.3687994703695288
2013-01-10,BRL,7.324,1.3960234094764157,-0.15733035987322697,1.5533537693496426
2013-01-11,BRL,7.34,1.3900009400029198,-0.1554067783010049,1.5454077183039248
2013-01-14,BRL,7.333,1.3851319152695718,-0.15624834523885212,1.541380260508424
2013-01-15,BRL,7.383000000000001,1.4113970701698884,-0.15023715282565742,1.5616342229955458
2013-01-16,BRL,7.3999999999999995,1.3717271592288238,-0.14819334740517154,1.5199205066339954
2013-01-17,BRL,7.489999999999999,1.4678279883963927,-0.13737320106142148,1.6052011894578142
2013-01-18,BRL,7.548,1.5003388139235252,-0.13040021786211575,1.630739031785641
2013-01-21,BRL,7.487,1.4506131724433615,-0.13773387260621295,1.5883470450495745
2013-01-22,BRL,7.5489999999999995,1.5296057654339958,-0.1302799940138517,1.6598857594478476
2013-01-23,BRL,7.550999999999999,1.39087192329424,-0.13003954631732406,1.520911469611564
2013-01-24,BRL,7.609000000000001,1.2147710124967683,-0.12306656311801834,1.3378375756147867
2013-01-25,BRL,7.495,1.164621226510178,-0.1367720818201017,1.3013933083302798
2013-01-28,BRL,7.538,1.0830901415910148,-0.13160245634475443,1.2146925979357692
2013-01-29,BRL,7.449,0.8815220105005641,-0.14230237884024088,1.023824389340805
2013-01-30,BRL,7.536999999999999,0.7900065908116978,-0.13172268019301858,0.9217292710047164
2013-01-31,BRL,7.562,0.7343172339134147,-0.12871708398642123,0.863034317899836
2013-02-01,BRL,7.476000000000001,0.9386878106635497,-0.13905633493711567,1.0777441456006653
2013-02-04,BRL,7.571,0.778420208416798,-0.12763506935204638,0.9060552777688444
2013-02-05,BRL,7.680999999999999,0.843515115506497,-0.11441044604301842,0.9579255615495155
2013-02-06,BRL,7.698,0.7888144314396643,-0.11236664062253221,0.9011810720621966
2013-02-07,BRL,7.7379999999999995,0.7556914457128013,-0.10755768669197674,0.8632491324047781
2013-02-08,BRL,7.727,0.4274019087543372,-0.1088801490228794,0.5362820577772166
2013-02-11,BRL,7.708,0.4771833858029049,-0.11116440213989326,0.5883477879427982
2013-02-12,BRL,7.688000000000001,0.5463350483193886,-0.113568879105171,0.6599039274245596
2013-02-13,BRL,7.631,0.6089069362610569,-0.1204216384562129,0.7293285747172698
2013-02-14,BRL,7.652,0.48571386655798393,-0.11789693764267112,0.603610804200655
2013-02-15,BRL,7.5,0.3404168413824991,-0.13617096257878247,0.4765878039612816
2013-02-18,BRL,7.542,0.424728277273956,-0.13112156095169913,0.5558498382256551
2013-02-19,BRL,7.551,0.337438194153354,-0.130039546317324,0.467477740470678
2013-02-20,BRL,7.484,-0.04259335729784974,-0.1380945441510047,0.09550118685315494
2013-02-21,BRL,7.5120000000000005,-0.18018411394310252,-0.1347282763996157,-0.045455837543486824
2013-02-22,BRL,7.512,-0.1344982106648418,-0.1347282763996158,2.300657347740001e-4
2013-02-25,BRL,7.574,-0.5483727505164362,-0.12727439780725464,-0.42109835270918156
2013-02-26,BRL,7.526,-0.3721666764060424,-0.13304514252392136,-0.23912153388212104
2013-02-27,BRL,7.521,-0.23741091485899493,-0.13364626176524075,-0.10376465309375418
2013-02-28,BRL,7.594000000000001,-0.4380229667869754,-0.12486992084197668,-0.3131530459449987
2013-03-01,BRL,7.588999999999999,-0.5569897257193169,-0.1254710400832964,-0.4315186856360205
2013-03-04,BRL,7.51,-0.5252620475642414,-0.13496872409614358,-0.39029332346809786
2013-03-05,BRL,7.373,-0.5391188773319702,-0.15143939130829642,-0.38767948602367375
2013-03-06,BRL,7.313,-0.43831881616381896,-0.1586528222041299,-0.27966599395968905
2013-03-07,BRL,7.35,-0.4271331146175557,-0.15420453981836602,-0.2729285747991897
2013-03-08,BRL,7.417999999999999,-0.4112959443312968,-0.14602931813642156,-0.26526662619487523
2013-03-11,BRL,7.426,-0.4182928890090301,-0.1450675273503103,-0.2732253616587198
2013-03-12,BRL,7.5760000000000005,-0.3194276723770398,-0.12703395011072677,-0.19239372226631302
2013-03-13,BRL,7.635,-0.3069313036847051,-0.11994074306315733,-0.18699056062154779
2013-03-14,BRL,7.657,-0.22246870639958863,-0.1172958184013517,-0.10517288799823693
2013-03-15,BRL,7.622,-0.06656084031690597,-0.12150365309058787,0.054942812773681904
2013-03-18,BRL,7.718,-0.2693449280705427,-0.10996216365725445,-0.15938276441328827
2013-03-19,BRL,7.741,-0.48662832014502644,-0.10719701514718499,-0.37943130499784145
2013-03-20,BRL,7.705,-0.22806229411244036,-0.11152507368468498,-0.11653722042775538
2013-03-21,BRL,7.893,-0.23351574732396893,-0.0889229902110737,-0.14459275711289524
2013-03-22,BRL,7.91,-0.026202711358696402,-0.08687918479058751,0.0606764734318911
2013-03-25,BRL,7.884999999999999,0.005347399617616103,-0.08988478099718492,0.09523218061480102
2013-03-26,BRL,7.895,0.047526418100897264,-0.08868254251454592,0.1362089606154432
2013-03-27,BRL,7.973000000000001,-0.024228235689703014,-0.07930508234996238,0.05507684666025936
2013-03-28,BRL,8.143,-0.13041013293209153,-0.05886702814510106,-0.07154310478699047
2013-04-01,BRL,8.181999999999999,-0.2385127153900013,-0.05417829806280963,-0.18433441732719166
2013-04-02,BRL,8.102,-0.11445781571684045,-0.06379620592392062,-0.05066160979291984
2013-04-03,BRL,8.206000000000001,-0.3244050204182429,-0.05129292570447591,-0.27311209471376696
2013-04-04,BRL,8.135,-0.4461176286149206,-0.059828818931212335,-0.38628880968370827
2013-04-05,BRL,7.876999999999999,-0.5106016686726279,-0.09084657178329608,-0.4197550968893318
2013-04-08,BRL,7.853,-0.7092307866245073,-0.09373194414162922,-0.6154988424828781
2013-04-09,BRL,7.851000000000001,-0.47951389287305174,-0.09397239183815692,-0.3855415010348948
