date,country,TPM,Y10,FX_residual_z,Y10_residual_z
2025-01-02,BRL,12.25,14.8036,0.8637515749503824,1.3514582472333294
2025-01-03,BRL,12.25,14.7572,0.8324732068056301,1.6773105276196083
2025-01-06,BRL,12.25,14.45075,0.8587897274155118,1.1524339738156468
2025-01-07,BRL,12.25,14.6586,0.8019995468284054,1.3246181644168278
2025-01-08,BRL,12.25,14.81545,0.8545578033445713,1.3586139160898876
2025-01-09,BRL,12.25,14.8087,0.836312487382517,1.528095371460615
2025-01-10,BRL,12.25,15.0882,0.6615494108109927,1.689150763978281
2025-01-13,BRL,12.25,15.1181,0.6554313339333924,1.6050089366838667
2025-01-14,BRL,12.25,14.8357,0.8335993410537661,1.3633565712445714
2025-01-15,BRL,12.25,14.64815,0.8242370554303982,1.5310394556218883
2025-01-16,BRL,12.25,14.9579,0.6256729420934103,2.089454666464628
2025-01-17,BRL,12.25,15.1947,0.7215064837819263,2.322484143148949
2025-01-20,BRL,12.25,15.0865,0.7206490613644932,2.1909346069065823
2025-01-21,BRL,12.25,15.07455,0.7010123093374965,2.204843312391504
2025-01-22,BRL,12.25,14.98665,0.6631140630440435,2.067574948216515
2025-01-23,BRL,12.25,15.2386,0.5135910581117021,2.365923083486419
2025-01-24,BRL,12.25,15.18675,0.49334257308394136,2.132220870869693
2025-01-27,BRL,12.25,15.06225,0.2737596635448676,2.0496513428669187
2025-01-28,BRL,12.25,15.0702,0.07816778518724582,2.145316651555279
2025-01-29,BRL,13.25,15.13225,-0.06254305887245246,2.0916225184666724
2025-01-30,BRL,13.25,14.9938,0.2813133503850654,2.109830052104193
2025-01-31,BRL,13.25,14.80365,-0.0691459144279373,1.8815951576709122
2025-02-03,BRL,13.25,14.49545,-0.3195505247918817,1.6960417432023867
2025-02-04,BRL,13.25,14.49045,-0.17942021832074523,1.7855735048335004
2025-02-05,BRL,13.25,14.704,-0.09320205871175041,2.2364541266072266
2025-02-06,BRL,13.25,14.76305,-0.08292817564207527,2.217443501704712
2025-02-07,BRL,13.25,14.93815,-0.06928539711516406,2.266217453066007
2025-02-10,BRL,13.25,14.92985,0.016283539240167483,2.2871975487379737
2025-02-11,BRL,13.25,14.90995,0.09621937128000667,2.1105462441332112
2025-02-12,BRL,13.25,14.9882,0.1793812553253045,2.0658839724872697
2025-02-13,BRL,13.25,14.90955,0.11629210892243093,2.313058022010052
2025-02-14,BRL,13.25,14.5562,5.244954220356246e-4,1.9716843463988714
2025-02-17,BRL,13.25,14.42905,-0.14856093845878862,1.8233054865129958
2025-02-18,BRL,13.25,14.42225,-0.031238938756420902,1.719529486936122
2025-02-19,BRL,13.25,14.5853,0.03161079915165621,1.916754107687909
2025-02-20,BRL,13.25,14.6907,-0.08347569469926841,1.8818354492284532
2025-02-21,BRL,13.25,14.6481,-0.33812397116292214,1.9456929482965535
2025-02-24,BRL,13.25,14.8092,-0.34486104334136924,2.077285980113221
2025-02-25,BRL,13.25,14.7887,-0.27613731612211656,2.2666654054778275
2025-02-26,BRL,13.25,15.08815,-0.42961645739249643,2.6949837625210966
2025-02-27,BRL,13.25,15.10545,-0.31182000065508164,2.640098974710408
2025-02-28,BRL,13.25,15.2619,-0.40018626823028663,2.8281831356132683
2025-03-03,BRL,13.25,15.17365,-0.38259002733753317,2.7284618611511466
2025-03-04,BRL,13.25,15.0854,-0.2754330067802255,2.495776503299262
2025-03-05,BRL,13.25,14.99715,0.018858744601191173,2.4781453338814665
2025-03-06,BRL,13.25,15.11945,-0.33484107173148825,2.427625579460249
2025-03-07,BRL,13.25,14.82895,-0.12183944317505442,2.136847188988195
2025-03-10,BRL,13.25,14.9169,-0.2508597671545134,2.3851915651654663
2025-03-11,BRL,13.25,14.776,0.03460002246827768,2.0674824919178163
2025-03-12,BRL,13.25,14.91885,0.2187853488877288,2.2282476410440224
2025-03-13,BRL,13.25,14.77845,0.18854473311039976,2.04538680631581
2025-03-14,BRL,13.25,14.80935,0.22147563283084182,2.05880085813236
2025-03-17,BRL,13.25,14.73255,0.2301435852167846,1.9988312527974699
2025-03-18,BRL,13.25,14.6114,0.11250080516320558,1.9138239431786097
2025-03-19,BRL,14.25,14.5181,0.11479077944721959,2.0107317616371008
2025-03-20,BRL,14.25,14.8296,-0.05675545551478414,2.49675371172187
2025-03-21,BRL,14.25,14.8374,0.11957626650416582,2.445414268256513
2025-03-24,BRL,14.25,15.04765,0.4280932872125558,2.559639707632601
2025-03-25,BRL,14.25,15.05615,0.42811104903809527,2.5299844414471138
2025-03-26,BRL,14.25,15.1498,0.3939354738457474,2.644490081515998
2025-03-27,BRL,14.25,15.0934,0.4959047905241528,2.520980415606096
2025-03-28,BRL,14.25,15.11975,0.23874544743245413,2.6706806042204687
2025-03-31,BRL,14.25,15.0776,0.187087234729694,2.6336838807960787
2025-04-01,BRL,14.25,14.9415,-0.10075284503043475,2.604645685061063
2025-04-02,BRL,14.25,14.9876,-0.24561517948609876,2.747967685794308
2025-04-03,BRL,14.25,14.73605,-0.356932359174232,2.2836767724343585
2025-04-04,BRL,14.25,14.72215,-0.8349144875116351,2.019005057839339
2025-04-07,BRL,14.25,14.85755,-0.451504514500755,2.057509046705527
2025-04-08,BRL,14.25,14.92805,-0.32976784882713067,1.9181851212502956
2025-04-09,BRL,14.25,14.94475,0.6289856336254586,2.1273804913088625
2025-04-10,BRL,14.25,15.14415,0.30348441714614843,2.1107923948560123
2025-04-11,BRL,14.25,14.80365,0.7923545295005993,1.4370672330248313
2025-04-14,BRL,14.25,14.609,1.0527303476836956,1.4360061571225249
2025-04-15,BRL,14.25,14.6643,1.1359921296303452,1.414349402739293
2025-04-16,BRL,14.25,14.6723125,1.3513307474221634,1.2353338973085666
2025-04-17,BRL,14.25,14.680325,1.543334335407505,1.1867742184662042
2025-04-21,BRL,14.25,14.688337500000001,1.3737624818437164,1.1949452942238599
2025-04-22,BRL,14.25,14.69635,1.4228768726648557,1.3127244348682252
2025-04-23,BRL,14.25,14.5621,0.9320065367576775,1.3455891266609326
2025-04-24,BRL,14.25,14.30615,0.7423862155030962,1.2876129987276215
2025-04-25,BRL,14.25,14.28325,0.5805243086234525,1.6303506156451133
2025-04-28,BRL,14.25,14.26255,0.6268445427049854,1.6199426482787989
2025-04-29,BRL,14.25,14.218,0.41916442498274836,1.6399600652191246
2025-04-30,BRL,14.25,14.0721,0.2586737905325726,1.303568244353616
2025-05-02,BRL,14.25,14.0628,0.5294025156255704,1.0902419422572343
2025-05-05,BRL,14.25,14.0996,0.6346014974669356,0.8670091814222752
2025-05-06,BRL,14.25,13.97795,0.6983134435816722,0.839376452873042
2025-05-07,BRL,14.75,13.89795,0.7094787506813222,0.7430544548309379
2025-05-08,BRL,14.75,13.85865,0.9326200792830485,0.7046848798657513
2025-05-09,BRL,14.75,13.76095,0.73961316134708,0.6808809541770456
2025-05-12,BRL,14.75,13.84955,0.5469798319963294,0.7413718115369508
2025-05-13,BRL,14.75,14.002,0.46314589729267647,0.9222790723454647
2025-05-14,BRL,14.75,14.15095,0.48303994396892963,0.8572002503375912
2025-05-15,BRL,14.75,13.99635,0.46919959347084605,0.8089253136079649
2025-05-16,BRL,14.75,14.01215,0.699473578917,0.7985333636404328
2025-05-19,BRL,14.75,14.0013,0.6841417231857415,0.7590946341097484
2025-05-20,BRL,14.75,14.0757,0.778729886459454,0.8217186514249173
2025-05-22,BRL,14.75,14.1504,0.8138093813560364,0.7950048959280552
2025-05-23,BRL,14.75,14.1215,0.9904344066509653,0.6534575493296639
2025-05-26,BRL,14.75,14.06235,0.8620389147040087,0.6335237691552714
2025-05-27,BRL,14.75,13.9321,0.826994881658142,0.6681073181928082
2025-05-28,BRL,14.75,13.97935,0.8131054336538791,0.6503117864196019
2025-05-29,BRL,14.75,13.9672,0.7410709359354762,0.7210128725393219
2025-05-30,BRL,14.75,14.02125,0.8368173595399269,0.7363718207931579
2025-06-02,BRL,14.75,14.03035,1.192030830302122,0.6357930230602269
2025-06-03,BRL,14.75,14.00005,1.1067961472202745,0.6759917958273367
2025-06-04,BRL,14.75,13.9777,0.8118257650345826,0.7856332475859247
2025-06-05,BRL,14.75,14.16265,0.9537317711146622,0.8605345247709213
2025-06-06,BRL,14.75,14.0813,0.9768278697126084,0.7593740228159617
2025-06-09,BRL,14.75,14.0742,0.8599955051218758,0.7312174308616071
2025-06-10,BRL,14.75,13.9856,0.8204107875167995,0.7739766816634681
2025-06-11,BRL,14.75,13.96755,0.8706486993682097,0.7824243885927237
2025-06-12,BRL,14.75,13.99105,0.8217633692282942,0.6769771634515142
2025-06-13,BRL,14.75,13.9646,0.7905268703830565,0.605938507857359
2025-06-16,BRL,14.75,13.92,0.8818026218254533,0.5372788868673197
2025-06-17,BRL,14.75,13.96635,0.5409038116821866,0.5769280791164212
2025-06-18,BRL,15,13.9714,0.5025820858278564,0.6775679285058002
2025-06-19,BRL,15,13.91805,0.2503886284761286,0.6212047672955827
2025-06-23,BRL,15,13.8647,0.32930513362947605,0.7381570415378347
2025-06-24,BRL,15,13.92115,0.35196676135973354,0.8057165925460992
2025-06-25,BRL,15,13.9385,0.5810758976666023,0.8474743007043395
2025-06-26,BRL,15,13.86665,0.7571695306271052,0.690309573549366
2025-06-27,BRL,15,13.82245,0.48912007072714847,0.6496175378464222
2025-06-30,BRL,15,13.51635,0.4643634262106602,0.49716738549799694
2025-07-01,BRL,15,13.4974,0.4693014319918175,0.5616776376916477
2025-07-02,BRL,15,13.4822,0.6027143455386929,0.5790344357063638
2025-07-03,BRL,15,13.5804,0.5435479416426806,0.6338928457802117
2025-07-04,BRL,15,13.58615,0.4632194023470956,0.6153248738186647
2025-07-07,BRL,15,13.7297,0.5064403090088159,0.7184075485811238
2025-07-08,BRL,15,13.7448,0.5894721969088647,0.6355154662827647
2025-07-09,BRL,15,13.9431,0.5312899856158542,0.9767817863540762
2025-07-10,BRL,15,13.86895,1.0418360739312214,0.9530037812291438
2025-07-11,BRL,15,13.86235,0.9122432656481492,0.8064548933871115
2025-07-14,BRL,15,13.9525,0.8187031875441417,0.7923250345937468
2025-07-15,BRL,15,14.1067,0.9089507027842014,0.9568817733939451
2025-07-17,BRL,15,14.0691,0.6992673332059394,1.06737716248713
2025-07-18,BRL,15,14.12175,0.6599829011320184,1.106029321438437
2025-07-21,BRL,15,14.0764,0.7969959963294093,1.0458679962467186
