date,z_fx,y10_spread,z_fx_hat,res_2nd,country
2012-10-05,0.14207627219226093,3.6685572217837406,0.5828662826506885,-0.44079001045842764,CLP
2012-10-08,0.013327151290331662,3.69294444444444,0.5921971522146983,-0.5788700009243666,CLP
2012-10-09,0.06866749384078194,3.6960588068682596,0.5933887479103899,-0.5247212540696079,CLP
2012-10-10,0.047508821373702936,3.70303925619835,0.5960595588962845,-0.5485507375225815,CLP
2012-10-11,0.16318850528528067,3.7117953745600794,0.5994097640204004,-0.43622125873511974,CLP
2012-10-12,0.07577333158506526,3.72387687715893,0.6040323045391077,-0.5282589729540424,CLP
2012-10-16,0.023520447891446142,3.6775884861407295,0.5863217622223144,-0.5628013143308682,CLP
2012-10-17,-0.0012905187951461855,3.5829804101622305,0.5501234780246896,-0.5514139968198358,CLP
2012-10-18,0.22469565480331832,3.5549999999999997,0.5394178080431047,-0.31472215323978636,CLP
2012-10-19,0.0819084761663165,3.6242467532467497,0.5659125192806348,-0.4840040431143183,CLP
2012-10-22,0.1221313998342724,3.5860000000000003,0.5512788124924648,-0.42914741265819245,CLP
2012-10-23,-0.10768556559012386,3.6216431109356497,0.5649163317633283,-0.6726018973534522,CLP
2012-10-24,0.23605587599308261,3.5991899441340802,0.5563254572041143,-0.32026958121103166,CLP
2012-10-25,0.2635653648721164,3.58337390652337,0.5502740348663118,-0.2867086699941953,CLP
2012-10-26,0.008368336177148585,3.674,0.5849487606067769,-0.5765804244296283,CLP
2012-10-29,0.04615382438182434,3.7009999999999996,0.5952793128691225,-0.5491254884872981,CLP
2012-10-30,0.09021730431565428,3.7018190008189995,0.5955926732677739,-0.5053753689521197,CLP
2012-10-31,-0.016346871730335395,3.7490000000000006,0.6136447391132932,-0.6299916108436286,CLP
2012-11-05,-0.015948115998743104,3.76485111662531,0.6197095831397487,-0.6356576991384918,CLP
2012-11-06,0.05910031540959784,3.6980000000000004,0.5941314737288622,-0.5350311583192644,CLP
2012-11-07,0.017974242501201297,3.7886666666666704,0.6288217233011851,-0.6108474807999839,CLP
2012-11-08,0.043673457614064624,3.8432115449915103,0.6496913053818537,-0.6060178477677891,CLP
2012-11-09,-0.1465289838810981,3.84469171626984,0.6502576382243725,-0.7967866221054707,CLP
2012-11-12,0.19498614621529564,3.82634763948498,0.6432389551158362,-0.4482528089005406,CLP
2012-11-13,0.1970311503194607,3.81935595345249,0.640563844821001,-0.4435326945015403,CLP
2012-11-14,0.3577652045800813,3.8279161518093496,0.6438390883951337,-0.28607388381505244,CLP
2012-11-15,0.3192060539440535,3.816,0.6392798132457806,-0.3200737593017272,CLP
2012-11-16,0.4179971911516547,3.8385430107526903,0.6479050632728656,-0.22990787212121092,CLP
2012-11-19,0.42170632265925384,3.8260000000000005,0.6431059437133164,-0.22139962105406255,CLP
2012-11-20,0.3914440751275434,3.803,0.6343058436379847,-0.24286176851044128,CLP
2012-11-21,0.24421268624955073,3.81666666666667,0.6395348886102844,-0.3953222023607337,CLP
2012-11-22,0.11708974790416099,3.86893617021276,0.6595338826143491,-0.5424441347101882,CLP
2012-11-23,0.025876848602822012,3.8874178187404,0.6666052024665378,-0.6407283538637157,CLP
2012-11-26,0.0905056369722431,3.89966052651204,0.6712894221875583,-0.5807837852153152,CLP
2012-11-27,0.19033636391763098,3.8988000000000005,0.6709601735169748,-0.48062380959934375,CLP
2012-11-28,0.1220003835312138,3.8716237828464704,0.6605621982726265,-0.5385618147414127,CLP
2012-11-29,0.18041399555651833,3.89888294314381,0.670991908645935,-0.4905779130894167,CLP
2012-11-30,0.032610657883270874,3.91464814814815,0.6770238817653397,-0.6444132238820688,CLP
2012-12-03,0.03576296620296661,3.928,0.6821324744821781,-0.6463695082792115,CLP
2012-12-04,0.08598747602093688,3.966,0.6966717702588129,-0.610684294237876,CLP
2012-12-05,0.3621432531396381,3.96708547008547,0.6970870852753744,-0.33494383213573636,CLP
2012-12-06,0.3258098647890664,3.9758000000000004,0.7004213781169979,-0.37461151332793147,CLP
2012-12-07,0.3062633456387763,3.8804040404040405,0.6639216393680093,-0.357658293729233,CLP
2012-12-10,0.3216120538227108,3.8831249999999997,0.6649627140091126,-0.3433506601864018,CLP
2012-12-11,0.3222124757980773,3.8382783347256995,0.6478037947717761,-0.3255913189736987,CLP
2012-12-12,0.21507532317721165,3.7910000000000004,0.6297144870769422,-0.41463916389973055,CLP
2012-12-13,0.2084398084822884,3.739,0.6098186086457574,-0.40137880016346905,CLP
2012-12-14,0.30049942635465055,3.7871848220769797,0.6282547502279084,-0.3277553238732579,CLP
2012-12-17,0.2940939594872616,3.7170000000000005,0.6014011216171797,-0.3073071621299181,CLP
2012-12-18,0.31864441166682667,3.6919999999999997,0.5918357954483409,-0.27319138378151414,CLP
2012-12-19,0.1231659576102941,3.688,0.5903053432613267,-0.4671393856510326,CLP
2012-12-20,-0.03018239004047884,3.7111492063492006,0.5991625316325209,-0.6293449216729997,CLP
2012-12-21,-0.04986532533135782,3.7400746031746,0.6102297658404423,-0.6600950911718001,CLP
2012-12-24,0.03774661763201337,3.725,0.604462025991208,-0.56671540835919465,CLP
2012-12-26,0.1660494214694453,3.7370964924252803,0.6090903018130756,-0.44304088034363026,CLP
2012-12-27,0.12819855490260584,3.758,0.617088256534075,-0.4888897016314691,CLP
2012-12-28,-0.15970885520558223,3.7880000000000003,0.6285666479366815,-0.7882755031422637,CLP
2013-01-02,0.6474379436574763,3.6819146757679198,0.5879770188164072,0.059460924841069095,CLP
2013-01-03,0.4263100019146508,3.5971098901098895,0.5555296013965066,-0.12921959948185585,CLP
2013-01-04,0.47994199687017,3.6373459873459866,0.5709244571494818,-0.09098246027931187,CLP
2013-01-07,0.5668820629198325,3.6665820845820836,0.5821105693881679,-0.01522850646833544,CLP
2013-01-08,0.5073106219653358,3.7228181818181802,0.6036272338891996,-0.09631661192386376,CLP
2013-01-09,0.43200084982194104,3.77529731134878,0.6237064335298765,-0.19170558370793553,CLP
2013-01-10,0.48160819284952344,3.7777764408793795,0.6246549808328759,-0.14304678798335238,CLP
2013-01-11,0.48230766314829904,3.7810000000000006,0.6258883566094068,-0.14358069346110777,CLP
2013-01-14,0.7090868479457454,3.8739999999999997,0.6614713699574863,0.047615477988259054,CLP
2013-01-15,0.7876319627367462,3.8530000000000006,0.6534364959756624,0.1341954667610838,CLP
2013-01-16,0.8382416542188201,3.8535000000000004,0.653627802499039,0.18461385171978123,CLP
2013-01-17,0.7933114678752353,3.7700000000000005,0.6216796130951177,0.1716318547801176,CLP
2013-01-18,0.8569934004913147,3.8070000000000004,0.635836295824999,0.2211571046663157,CLP
2013-01-21,0.8461135780696523,3.8070000000000004,0.635836295824999,0.21027728224465328,CLP
2013-01-22,0.859030359125325,3.7825544005544005,0.62648309054140106,0.2325472685839239,CLP
2013-01-23,0.8696186234666295,3.7761088011087995,0.6240169200993669,0.24560170336726264,CLP
2013-01-24,0.8165706898367778,3.7256632016632,0.6047157756001769,0.211854914236601,CLP
2013-01-25,0.6969740760121769,3.59591544855929,0.5550725924756628,0.1419014835365141,CLP
2013-01-28,0.6554366205627811,3.6070909090909105,0.5593484694785401,0.096088151084241,CLP
2013-01-29,0.8014627380822106,3.57211075441412,0.5459646059217429,0.25549813216046763,CLP
2013-01-30,0.754972921837989,3.6224714850366997,0.5652332785019829,0.18973964333600615,CLP
2013-01-31,0.739495644154737,3.6480990990991,0.5750387379994217,0.16445690615531522,CLP
2013-02-01,1.0274644209480635,3.6639999999999997,0.5811226301392414,0.44634179080882214,CLP
2013-02-04,0.8475282576215031,3.7276557377049193,0.6054781458858653,0.24205011173563767,CLP
2013-02-05,0.9919405492666924,3.6883114754098396,0.5904245178168743,0.4015160314498181,CLP
2013-02-06,1.051786656477003,3.729,0.6059924781782222,0.44579417829878093,CLP
2013-02-07,1.0723779499732562,3.7353598409542794,0.6084258363026069,0.46395211367064926,CLP
2013-02-08,1.0067525322208,3.73632951896588,0.6087968477609954,0.39795568445980456,CLP
2013-02-11,0.9160674335687317,3.7348330498362503,0.6082242791479352,0.30784315442079646,CLP
2013-02-12,1.0280668023916124,3.69650190114068,0.5935582815599596,0.43450852083165276,CLP
2013-02-13,0.9362919874958109,3.6419219605044004,0.5726752841814851,0.3636167033143259,CLP
2013-02-14,0.8595318287400469,3.6651212797619097,0.5815516464052088,0.27798018233483796,CLP
2013-02-15,0.9387281179784047,3.6784567812621702,0.5866539832642101,0.3520741347141946,CLP
2013-02-18,0.8926167962123083,3.6769999999999996,0.5860965997470375,0.30652019646527073,CLP
2013-02-19,0.8532690662066603,3.64570338340161,0.57412210591725,0.27914696028941033,CLP
2013-02-20,0.6156177409931315,3.6666666666666705,0.5821429315972525,0.033474809395879025,CLP
2013-02-21,0.4212460691363215,3.6857900994229293,0.589459806468511,-0.16821373733218958,CLP
2013-02-22,0.48251654842520375,3.698395049711465,0.5942826249025848,-0.11176607647738103,CLP
2013-02-25,-0.06336647303017644,3.795,0.6312449392639561,-0.6946114122941325,CLP
2013-02-26,-0.005625205360182543,3.72496629213484,0.6044491289222195,-0.610074334282402,CLP
2013-02-27,0.2855060886388937,3.6979999999999995,0.5941314737288619,-0.30862538508996823,CLP
2013-02-28,0.3191119551278319,3.7239999999999998,0.6040794129444542,-0.2849674578166223,CLP
2013-03-01,0.20564343885266248,3.7579999999999996,0.6170882565340747,-0.4114448176814123,CLP
2013-03-04,0.29684992752784806,3.7239999999999998,0.6040794129444542,-0.30722948541660616,CLP
2013-03-05,0.3964801019907028,3.721,0.6029315738041937,-0.20645147181349088,CLP
2013-03-06,0.35610577337720817,3.6810909090909103,0.5876618349383026,-0.23155606156109443,CLP
2013-03-07,0.30618969240410804,3.6494285714285697,0.5755474114579748,-0.26935771905386685,CLP
2013-03-08,0.2966667467753071,3.57753195488722,0.5480388279518175,-0.2513720811765104,CLP
2013-03-11,0.4699531410606091,3.5707500000000003,0.5454439635294733,-0.07549082246886421,CLP
2013-03-12,0.3592100806655677,3.5870099009901,0.5516652137872065,-0.1924551331216387,CLP
2013-03-13,0.36830408256029934,3.6055000000000006,0.5587397669041592,-0.19043568434385977,CLP
2013-03-14,0.4433809014508793,3.5900000000000003,0.5528092646794791,-0.10942836322859983,CLP
2013-03-15,0.5432932406420866,3.6200311332503095,0.5642995680698416,-0.021006327427754982,CLP
2013-03-18,0.14424528808223783,3.64406226650062,0.5734941931796835,-0.4292489050974457,CLP
2013-03-19,0.0804579839641049,3.6870933997509296,0.5899584661778422,-0.5095004822137373,CLP
2013-03-20,0.31352213951058955,3.64073829201102,0.5722223971728866,-0.2587002576622971,CLP
2013-03-21,0.19864612691067443,3.65876578902082,0.5791199527291466,-0.3804738258184722,CLP
2013-03-22,0.2682785738232754,3.649,0.5753834344379384,-0.30710486061466297,CLP
2013-03-25,0.2597760845217164,3.6556834487098797,0.5779406091116465,-0.31816452458993005,CLP
2013-03-26,0.34574149463319115,3.6431249999999995,0.5731355827882609,-0.22739408815506976,CLP
2013-03-27,0.20860330501548427,3.7063809523809503,0.5973381354540339,-0.38873483043854967,CLP
2013-03-28,0.16948024665308747,3.682099567099565,0.5880477606521264,-0.41856751399903896,CLP
2013-04-01,0.06884487155036126,3.67981818181818,0.5871748728787969,-0.5183300013284357,CLP
2013-04-02,0.21855533637034902,3.6502631578947398,0.5758667351285753,-0.3573113987582263,CLP
2013-04-03,0.10611599895837977,3.6879999999999997,0.5903053432613267,-0.48418934430294686,CLP
2013-04-04,0.04981625795483207,3.72532431584725,0.6045861134656346,-0.5547698555108026,CLP
2013-04-05,0.020261600651892364,3.6958458498023696,0.5933072677585818,-0.5730456671066895,CLP
2013-04-08,0.05949300726886614,3.57858331873138,0.5484410934754782,-0.488948086206612,CLP
2013-04-09,-0.0064931954177373805,3.5468644876970203,0.5363050548939607,-0.5427982503116981,CLP
2013-04-10,-0.06653296673670941,3.48447324548796,0.5124333516216137,-0.5789663183583231,CLP
2013-04-11,0.204748279939768,3.50434782608696,0.5200376254575458,-0.3152893455177779,CLP
2013-04-12,0.21919957374500065,3.47870007107321,0.5102244597693464,-0.2910248860243458,CLP
2013-04-15,-0.31392121176543536,3.4337014925373097,0.49300741653614694,-0.8069286283015823,CLP
2013-04-16,0.1370393357291704,3.43155782312925,0.4921872206526967,-0.3551478849235263,CLP
2013-04-17,-0.1954605133341628,3.444,0.49694775985346085,-0.6924082731876237,CLP
2013-04-18,-0.12503985650843125,3.484,0.5122522817236028,-0.6372921382320341,CLP
2013-04-19,0.21951164037236492,3.494,0.5160784121911385,-0.29656677181877356,CLP
