anio,usos_mm,fuentes_mm,diferencia_mm,diferencia_necesidades_mm
2026,22553257.624017235,22553257.62401724,-3.725290298461914e-9,0
2027,19535293.295916457,19535293.29591646,-3.725290298461914e-9,3.725290298461914e-9
2028,23265151.232678402,23265151.232678402,0,0
2029,20106477.587280236,20106477.587280244,-7.450580596923828e-9,0
2030,21432825.61383804,21432825.613838043,-3.725290298461914e-9,3.725290298461914e-9
