variable,shock,deuda_2030,impacto_pp
Crecimiento nominal,-0.005,0.4489350712347016,0.8096237602713607
Crecimiento nominal,-0.01,0.4572258026255921,1.638696899360409
Crecimiento nominal,-0.015,0.4657166943060971,2.487786067410908
Tasa efectiva,0.005,0.44900697457687266,0.8168140944884661
Tasa efectiva,0.01,0.45729184129912864,1.645300766714064
Tasa efectiva,0.015,0.4656945509738648,2.4855717341876806
Balance primario,-0.0025,0.45061770755418956,0.9778873922201559
Balance primario,-0.005,0.4603965814763912,1.9557747844403173
Balance primario,-0.0075,0.47017545539859273,2.933662176660473
Ajuste stock-flujo,0.0025,0.45061770755418956,0.9778873922201559
Ajuste stock-flujo,0.005,0.4603965814763912,1.9557747844403173
