anio,deuda_base,deuda_comprometida,nivel_prudente,pib_nominal,crecimiento_nominal,intereses_mm,intereses_pib,balance_primario_compatible,balance_primario_comprometido,balance_efectivo_compatible_pib,holgura_pib,sfa_identificado,deuda_rezagada,deuda_promedio,tasa_efectiva,sfa_total,valorizacion_otros
2025,NA,0.4153631777476406,0.45,339977710.0265652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,0.426607312003057,0.42660731200305685,0.45,364368000,0.07174085022082477,4589232.969301025,0.01259504942613244,-0.007307939962064242,-0.007307939962064242,-0.019902989388196683,0,0.016551457340185458,NA,NA,NA,NA,NA
2027,0.431920170231312,0.4353095887888026,0.45,379526000,0.04160079919202575,4769586.27776161,0.012567218788071464,7.856745519935655e-4,-0.0021974944046083654,-0.011781544236077898,-0.0033690793116205285,0.007814185862784597,0.426607312003057,0.4292637411171845,0.02927621782208888,0.011146298233069053,0.003332112370284456
2028,0.436738526651375,0.4454283081142219,0.45,396971000,0.04596523031360178,5279650.220006046,0.013299838577644326,0.001016352623622832,-0.0034117582815742648,-0.012283485954021494,-0.005386888423908833,0.007152419714415876,0.431920170231312,0.4343293484413435,0.03062155165284779,0.01217071726562298,0.005018297551207103
2029,0.439800050458675,0.4526388312071406,0.45,415957000,0.04782717125432345,5726207.955421383,0.013766345933405094,0.002007759931541609,-0.0011072112365116387,-0.011758586001863485,-0.004435166092905851,0.006329048873039638,0.436738526651375,0.438269288555025,0.03141070180571578,0.011911733406585568,0.00558268453354593
2030,0.440838833631988,0.45476658838116324,0.45,436439000,0.049240666703529445,5943596.918896687,0.01361839092953812,0.002219870331232063,0.002064525274413441,-0.011398520598306056,-0.0015639944727842098,0.005409611840821314,0.439800050458675,0.44031944204533147,0.030928434289158844,0.01093441464822443,0.005524802807403116
