escenario,deuda_2030,deuda_2035,deuda_maxima,anio_maximo,primer_anio_sobre_45,distancia_45_en_2030
Base compatible con la meta,0.440838833631988,0.4327644728456494,0.4413693399697542,2031,,0.009161166368012008
Gasto comprometido (oficial),0.4547665883811632,,0.4547665883811632,2030,2029.0,-0.004766588381163173
Menor crecimiento,0.4572258026255921,0.4691486047636051,0.4691486047636051,2035,2029.0,-0.0072258026255920815
Mayor tasa de interés,0.4529133509276447,0.4713090462348973,0.4713090462348973,2035,2030.0,-0.0029133509276446645
Menor esfuerzo fiscal,0.4525734823386299,0.4581306362752736,0.4591841686537765,2034,2030.0,-0.002573482338629862
Combinación adversa,0.4999169937626421,0.5800939305506656,0.5800939305506656,2035,2028.0,-0.04991699376264208
