shock_crecimiento,shock_balance,deuda_2030
-0.02,-0.01,0.5146711812597186
-0.02,-0.0075,0.5046067876398137
-0.02,-0.005,0.4945423940199088
-0.02,-0.0025000000000000005,0.4844780004000039
-0.02,0,0.47441360678009903
-0.02,0.0025000000000000005,0.4643492131601942
-0.02,0.004999999999999999,0.4542848195402893
-0.0175,-0.01,0.5101497859161827
-0.0175,-0.0075,0.5001220954065502
-0.0175,-0.005,0.4900944048969176
-0.0175,-0.0025000000000000005,0.48006671438728504
-0.0175,0,0.4700390238776525
-0.0175,0.0025000000000000005,0.4600113333680201
-0.0175,0.004999999999999999,0.4499836428583875
-0.015,-0.01,0.505681827030755
-0.015,-0.0075,0.4956905438495905
-0.015,-0.005,0.4856992606684261
-0.015,-0.0025000000000000005,0.47570797748726157
-0.015,0,0.4657166943060971
-0.015,0.0025000000000000005,0.4557254111249326
-0.015,0.004999999999999999,0.4457341279437681
-0.0125,-0.01,0.5012665404858091
-0.0125,-0.0075,0.4913113720600969
-0.0125,-0.005,0.48135620363438475
-0.0125,-0.0025000000000000005,0.4714010352086726
-0.0125,0,0.46144586678296046
-0.0125,0.0025000000000000005,0.45149069835724825
-0.0125,0.004999999999999999,0.4415355299315361
-0.01,-0.01,0.49690317493636554
-0.01,-0.0075,0.4869838318586723
-0.01,-0.005,0.47706448878097885
-0.01,-0.0025000000000000005,0.46714514570328547
-0.01,0,0.4572258026255921
-0.01,0.0025000000000000005,0.44730645954789877
-0.01,0.004999999999999999,0.43738711647020534
-0.0075,-0.01,0.4925909915661382
-0.0075,-0.0075,0.48270718755209663
-0.0075,-0.005,0.47282338353805514
-0.0075,-0.0025000000000000005,0.46293957952401366
-0.0075,0,0.45305577550997206
-0.0075,0.0025000000000000005,0.44317197149593063
-0.0075,0.004999999999999999,0.4332881674818891
-0.005000000000000001,-0.01,0.48832926384881126
-0.005000000000000001,-0.0075,0.47848071569528383
-0.005000000000000001,-0.005,0.46863216754175646
-0.005000000000000001,-0.0025000000000000005,0.4587836193882291
-0.005000000000000001,0,0.4489350712347016
-0.005000000000000001,0.0025000000000000005,0.43908652308117424
-0.005000000000000001,0.004999999999999999,0.42923797492764676
-0.0024999999999999988,-0.01,0.48411727731443316
-0.0024999999999999988,-0.0075,0.4743037048583394
-0.0024999999999999988,-0.005,0.46449013240224574
-0.0024999999999999988,-0.0025000000000000005,0.4546765599461519
-0.0024999999999999988,0,0.44486298749005826
-0.0024999999999999988,0.0025000000000000005,0.43504941503396455
-0.0024999999999999988,0.004999999999999999,0.4252358425778708
0,-0.01,0.47995432932079435
0,-0.0075,0.47017545539859273
0,-0.005,0.4603965814763912
0,-0.0025000000000000005,0.45061770755418956
0,0,0.440838833631988
0,0.0025000000000000005,0.43105995970978633
0,0.004999999999999999,0.4212810857875847
0.0024999999999999988,-0.01,0.4758397288296823
0.0024999999999999988,-0.0075,0.4660952792374931
0.0024999999999999988,-0.005,0.4563508296453038
0.0024999999999999988,-0.0025000000000000005,0.4466063800531146
0.0024999999999999988,0,0.4368619304609253
0.0024999999999999988,0.0025000000000000005,0.42711748086873613
0.0024999999999999988,0.004999999999999999,0.4173730312765469
0.005000000000000001,-0.01,0.47177279618788986
0.005000000000000001,-0.0075,0.4620624996422477
0.005000000000000001,-0.005,0.4523522030966056
0.005000000000000001,-0.0025000000000000005,0.4426419065509634
0.005000000000000001,0,0.43293161000532127
0.005000000000000001,0.0025000000000000005,0.42322131345967917
0.005000000000000001,0.004999999999999999,0.4135110169140371
0.0075,-0.01,0.46775286291286944
0.0075,-0.0075,0.4580764510120945
0.0075,-0.005,0.4484000391113195
0.0075,-0.0025000000000000005,0.43872362721054453
0.0075,0,0.4290472153097696
0.0075,0.0025000000000000005,0.41937080340899463
0.0075,0.004999999999999999,0.4096943915082196
0.009999999999999998,-0.01,0.4637792714829235
0.009999999999999998,-0.0075,0.4541364786690989
0.009999999999999998,-0.005,0.4444936858552743
0.009999999999999998,-0.0025000000000000005,0.4348508930414497
0.009999999999999998,0,0.42520810022762506
0.009999999999999998,0.0025000000000000005,0.41556530741380043
0.009999999999999998,0.004999999999999999,0.40592251459997586
