anio,balance_primario,balance_primario_estabilizador,brecha_primaria,deuda_pib
2027,7.856745519935655e-4,0.006098532780248559,-0.005312858228254993,0.431920170231312
2028,0.001016352623622832,0.005834709043685827,-0.004818356420062995,0.436738526651375
2029,0.002007759931541609,0.005069283738841578,-0.003061523807299969,0.439800050458675
2030,0.002219870331232063,0.003258653504545071,-0.0010387831733130078,0.440838833631988
2031,0.001,0.0015305063377662152,-5.305063377662152e-4,0.44136933996975425
2032,0.0015,9.408676313458018e-4,5.591323686541983e-4,0.44081020760110007
2033,0.002,3.6986343556742393e-4,0.0016301365644325761,0.4391800710366675
2034,0.0025,-1.8590022510624887e-4,0.002685900225106249,0.4364941708115613
2035,0.003,-7.296979659118527e-4,0.003729697965911853,0.43276447284564945
