anio,pib_nominal,crecimiento_nominal,deuda_comprometida,stock_comprometido,intereses_mm,intereses_pib,balance_primario_comprometido,balance_efectivo_comprometido_pib,deficit_efectivo_mm,amortizacion_mm,emision_mm,bajo_linea_bruto_mm,financiamiento_activos_mm,necesidades_financiamiento_mm,operaciones_financieras_netas_mm,emision_neta_mm,deuda_rezagada,stock_rezagado_mm,tasa_efectiva,variacion_stock_mm,valorizacion_otros_mm,sfa_identificado,valorizacion_otros,ajuste_conciliacion,sfa_total,efecto_interes_crecimiento,efecto_balance_primario,deuda_reconstruida,error_reconstruccion
2025,339977710.0265652,NA,0.4153631777476406,141214222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2026,364368000,0.07174085022082477,0.42660731200305685,155442053.05992982,4589232.969301025,0.01259504942613244,-0.007307939962064242,-0.019902989388196683,7252012.437398464,6689408.195158909,19972242.040686075,8611836.991459861,2581015.583331166,22553257.624017235,6030821.408128696,13282833.845527165,0.4153631777476406,141214222,0.03249837661040278,14227831.059929818,944997.2144026533,0.016551457340185458,0.00259352416897931,0,0.019144981509164768,-0.015208787215812768,0.007307939962064242,0.42660731200305685,0
2027,379526000,0.04160079919202575,0.4353095887888026,165211306.9946591,4769586.27776161,0.012567218788071464,-0.0021974944046083654,-0.01476471319267983,5603592.539165005,9086638.33793557,17655917.580859765,4845062.418815881,1879375.715056694,19535293.29591646,2965686.703759187,8569279.242924195,0.42660731200305685,155442053.05992982,0.030684014935924212,9769253.934729278,1199974.6918050833,0.007814185862784597,0.0031617720309150975,0,0.010975957893699694,-0.0044711755125623805,0.0021974944046083654,0.43530958878880255,-5.551115123125783e-17
2028,396971000,0.04596523031360178,0.4454283081142219,176822120.90041077,5279650.220006046,0.013299838577644326,-0.0034117582815742648,-0.01671159685921859,6634019.316800863,12689289.793898182,22162612.317150425,3941842.121979361,1102538.9155279761,23265151.232678402,2839303.206451385,9473322.523252243,0.4353095887888026,165211306.9946591,0.03195695449692632,11610813.905751675,2137491.382499432,0.007152419714415876,0.005384502602203769,0,0.012536922316619646,-0.0058299612727747,0.0034117582815742648,0.4454283081142218,-1.1102230246251565e-16
2029,415957000,0.04782717125432345,0.4526388312071406,188278290.3124286,5726207.955421383,0.013766345933405094,-0.0011072112365116387,-0.014873557169916733,6186760.219727054,10132282.311063405,18951654.712873414,3787435.056489777,1154822.874406828,20106477.587280236,2632612.1820829487,8819372.401810009,0.4454283081142219,176822120.90041077,0.03238400221794919,11456169.412017822,2636797.0102078132,0.006329048873039638,0.006339109595962595,0,0.012668158469002233,-0.006564846612595214,0.0011072112365116387,0.45263883120714055,-5.551115123125783e-17
2030,436439000,0.049240666703529445,0.45476658838116324,198477875.0664865,5943596.918896687,0.01361839092953812,0.002064525274413441,-0.011553865655124678,5042557.572656974,12809708.092327619,20213231.24718081,3580559.94885345,1219594.3666572361,21432825.613838043,2360965.582196214,7403523.154853189,0.4526388312071406,188278290.3124286,0.031568147921005096,10199584.754057914,2796061.5992047247,0.005409611840821314,0.006406534702913178,0,0.011816146543734493,-0.007623864095298478,-0.002064525274413441,0.4547665883811632,-5.551115123125783e-17
