anio,pib_nominal,crecimiento_nominal,deuda_base,stock_base_mm,deuda_comprometida,intereses_mm,intereses_pib,balance_primario_compatible,balance_primario_comprometido,balance_efectivo_compatible_pib,holgura_pib,sfa_identificado,valorizacion_otros,deuda_rezagada,stock_rezagado_mm,tasa_efectiva,sfa_previo_conciliacion,deuda_sin_conciliacion,ajuste_conciliacion,sfa_total,error_reconstruccion
2025,339977710.0265652,NA,0.4153631777476406,141214222,0.4153631777476406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,364368000,0.07174085022082477,0.426607312003057,155442053.05992988,0.42660731200305685,4589232.969301025,0.01259504942613244,-0.007307939962064242,-0.007307939962064242,-0.019902989388196683,0,0.016551457340185458,0.00259352416897931,0.4153631777476406,141214222,0.03249837661040278,0.019144981509164768,0.42660731200305685,1.6653345369377348e-16,0.019144981509164934,0
2027,379526000,0.04160079919202575,0.431920170231312,163924934.52720892,0.4353095887888026,4769586.27776161,0.012567218788071464,7.856745519935655e-4,-0.0021974944046083654,-0.011781544236077898,-0.0033690793116205285,0.007814185862784597,0.0031617720309150975,0.426607312003057,155442053.05992988,0.0306840149359242,0.010975957893699694,0.43232641983220077,-4.0624960088875284e-4,0.010569708292810941,0
2028,396971000,0.04596523031360178,0.436738526651375,173372529.663323,0.4454283081142219,5279650.220006046,0.013299838577644326,0.001016352623622832,-0.0034117582815742648,-0.012283485954021494,-0.005386888423908833,0.007152419714415876,0.005384502602203769,0.431920170231312,163924934.52720892,0.03220773114983132,0.012536922316619646,0.43775972758416504,-0.0010212009327900118,0.011515721383829634,0
2029,415957000,0.04782717125432345,0.439800050458675,182937909.58863908,0.4526388312071406,5726207.955421383,0.013766345933405094,0.002007759931541609,-0.0011072112365116387,-0.011758586001863485,-0.004435166092905851,0.006329048873039638,0.006339109595962595,0.436738526651375,173372529.663323,0.03302834633918803,0.012668158469002233,0.44123071618746856,-0.0014306657287935787,0.011237492740208655,0
2030,436439000,0.049240666703529445,0.440838833631988,192399259.71151122,0.45476658838116324,5943596.918896687,0.01361839092953812,0.002219870331232063,0.002064525274413441,-0.011398520598306056,-0.0015639944727842098,0.005409611840821314,0.006406534702913178,0.439800050458675,182937909.58863908,0.03248969517724171,0.011816146543734493,0.4423749841362576,-0.0015361505042695844,0.010279996039464908,0
