year,revenue,committed_spending,target_spending,committed_balance_mm,target_balance,interest_mm,interest_gdp_excel,committed_primary_excel,target_primary_excel,structural_target,fiscal_space,nominal_gdp_excel,source
2026,79691671.67956065,86943684.1169591,86943684.1169591,-7252012.437398449,-0.019902989388196683,4589232.969301025,0.01259504942613244,-0.007307939962064242,-0.007307939962064242,-0.026,0,364368000,IFP 2T26
2027,81922812.00306068,87526404.54222569,86280320.66752471,-5603592.539165005,-0.011781544236077898,4769586.27776161,0.012567218788071464,-0.0021974944046083654,0.0007856745519935655,-0.018,-0.0033690793116205285,379526000,IFP 2T26
2028,82493331.95840986,89127351.27521072,87104942.40614364,-6634019.316800863,-0.012283485954021494,5279650.220006046,0.013299838577644326,-0.0034117582815742648,0.001016352623622832,-0.017,-0.005386888423908833,396971000,IFP 2T26
2029,84109176.57502538,90295936.79475243,88601498.77996182,-6186760.219727054,-0.011758586001863485,5726207.955421383,0.013766345933405094,-0.0011072112365116387,0.002007759931541609,-0.016,-0.004435166092905851,415957000,IFP 2T26
2030,85797682.1726339,90840239.74529086,90231829.0989711,-5042557.572656959,-0.011398520598306056,5943596.918896687,0.01361839092953812,0.002064525274413441,0.002219870331232063,-0.015,-0.0015639944727842098,436439000,IFP 2T26
