year,nominal_gdp,real_growth,average_cpi,nominal_growth_excel,exchange_rate,copper_price,lithium_price,status,source
2025,339977710.0265652,,,,,,,Efectivo / cálculo,Hacienda e IFP 2T26
2026,364368000,0.0175448461225076,0.0359712230215827,0.07174085022082477,900.000654708974,590.497026865833,19,Proyección,"IFP 2T26, Cuadro I.1.1"
2027,379526000,0.0281486807464562,0.0261367714693752,0.04160079919202575,897.523020750041,551.476233626345,15,Proyección,"IFP 2T26, Cuadro II.3.1"
2028,396971000,0.0216579972669832,0.0304406231623734,0.04596523031360178,895.052529237275,540.808461360721,15,Proyección,"IFP 2T26, Cuadro II.3.1"
2029,415957000,0.0222907578562877,0.0296866484834379,0.04782717125432345,895.052529237275,541.207031933497,15,Proyección,"IFP 2T26, Cuadro II.3.1"
2030,436439000,0.0214092596269258,0.030454533953517,0.049240666703529445,895.052529237274,541.476010999557,15,Proyección,"IFP 2T26, Cuadro II.3.1"
