year,committed_debt,target_debt,prudent_level,nominal_gdp,committed_stock,target_stock,status
2025,0.4153631777476406,,0.45,339977710.0265652,141214222,,Efectivo
2026,0.42660731200305685,0.426607312003057,0.45,364368000,155442053.05992982,155442053.05992988,Proyección
2027,0.4353095887888026,0.431920170231312,0.45,379526000,165211306.9946591,163924934.52720892,Proyección
2028,0.4454283081142219,0.436738526651375,0.45,396971000,176822120.90041077,173372529.663323,Proyección
2029,0.4526388312071406,0.439800050458675,0.45,415957000,188278290.3124286,182937909.58863908,Proyección
2030,0.45476658838116324,0.440838833631988,0.45,436439000,198477875.0664865,192399259.71151122,Proyección
